user,game,mean_x,mean_y,mean_z,rows
g2o1u01,medal_of_honor,-0.5073038880725423,1.7239873110297932,0.8577112009658399,53011
g2o1u02,forklift_simulator,0.07967475010807994,1.2331149316122854,0.0901995713707705,62365
g2o1u02,medal_of_honor,0.23563068655247812,1.7451894103138992,-0.11530570047456842,59318
g2o1u03,forklift_simulator,-0.4423514300305112,1.0000364303766927,-0.2100579006623539,78659
g2o1u03,medal_of_honor,0.130534077297396,1.4127734560141698,-0.022712381316116297,80776
g2o1u04,forklift_simulator,0.3978458874649982,1.1253205380874742,-0.3428695419360744,78556
g2o1u04,medal_of_honor,-1.0134861432100695,1.5866793630532916,-0.46118949779602153,63145
g2o1u05,forklift_simulator,8.10091331986197e-05,1.1244612272135697,-0.03754343280790668,79916
g2o1u05,medal_of_honor,0.31052713305088603,1.512008508985738,-0.23651943615486112,38895
g2o1u06,forklift_simulator,0.02132971375564019,1.2039660442185496,0.03566774304245208,65719
g2o1u06,medal_of_honor,-0.08212629432701864,1.7295841032247083,0.7557350621234429,59385
g2o1u07,forklift_simulator,0.01841593056877994,1.1815801671299169,0.050045259221136014,56483
g2o1u07,medal_of_honor,0.01325964438465475,1.6522914888848033,-0.02866737277386977,65226
g2o1u08,forklift_simulator,0.07242322023222006,1.1723850934394395,-0.04687198053137821,72753
g2o1u08,medal_of_honor,-0.777252872322872,1.5568286349516667,-0.6571985894531087,54727
g2o1u09,forklift_simulator,0.011723661713878631,1.2041726873632974,-0.03336859880114122,63553
g2o1u09,medal_of_honor,0.05090311190377709,1.658953961064888,-0.13957128177298408,62617
g2o1u10,forklift_simulator,-0.06442904165890187,1.2327494273965351,0.017082820699321433,80981
g2o1u10,medal_of_honor,-0.5600501589109932,1.6290172531663845,-0.1368899078000683,69243
g2o1u11,forklift_simulator,-0.9737983177277906,1.0873084219144549,-1.4914970527154987,62169
g2o1u11,medal_of_honor,-0.6185067384684941,1.4909361088586761,-1.2716904338726422,58948
g2o1u12,forklift_simulator,0.00019784713471973108,1.116122332879346,-0.12093831889727517,90309
g2o1u12,medal_of_honor,-0.10411815351982093,1.4957567276113246,-1.47154022097165,61750
g2o1u13,forklift_simulator,0.024113567906884494,1.180635109513198,-0.015920586013408275,74402
g2o1u13,medal_of_honor,0.23823714857128414,1.6182942880067104,-0.8406922744462954,69172
g2o1u14,forklift_simulator,-0.18342649515659393,1.1890234341881636,0.5843081242313124,76430
g2o1u14,medal_of_honor,-1.1801039026542886,1.6428961046072186,-0.9193550748702882,76706
g2o2u00,forklift_simulator,-0.014483765790607797,1.1616972647652857,-0.16878525182031542,61885
g2o2u00,medal_of_honor,-1.9613270089366501,1.6183081292738426,-0.5441190997684533,55278
g2o2u01,forklift_simulator,-0.0049420165939192354,1.1132031922277175,0.07462961564385744,72617
g2o2u01,medal_of_honor,-0.2583279928492231,1.6311550469152192,0.49846041452849293,72258
g2o2u02,forklift_simulator,0.03416638172442013,1.1916614048562808,0.08647347150659847,52468
g2o2u02,medal_of_honor,-0.6962869090992684,1.5409438936667101,-0.15180521825904522,68511
g2o2u03,forklift_simulator,-0.1472596397792405,1.1453532822951158,0.2742826674733434,56363
g2o2u03,medal_of_honor,-0.4151250402013956,1.610941053101039,0.5409114782378968,73991
